project_id,project_name,description,country_name,state_name,city_name,currency,budget_raw,budget_raw_num,budget_usd_clean,sector_main,project_type,is_infrastructure_project,is_megaproject,delivery_method,timestamp,timestamp_label,source,url,failed_or_problematic,data_completeness_score
17,Valley Line Light Rail Transit (LRT),"The Valley Line LRT provides a clean and urban-integrated transit solution, featuring a new 27 km low-floor LRT with 28 stops and stations, aimed at promoting urban densification and encouraging sustainable transportation.",Canada,Alberta,Edmonton,CAD,4400000000.0,4400000000.0,3275052000.0,Transport,Unknown,True,True,Unknown,2028-12-31,extracted_timestamp,AECOM,https://aecom.com/us/projects/reshaping-edmontons-public-transportation/,0,70
104,BHP Billiton Jansen Potash Project,Construct a potash mine with an 8 million tonne per year capacity - expected mine life of 50 years - Construction includes but is not limited to a Processing plant - Tailings Management area - road and rail infrastructure - construction of a temporary Construction camp -Excavation - Site preparation including pumping cooled brine 500 metres below the surface to freeze aquifers to enable borers to access the potash below - Construction of the Jansen Operations Complex - 23850 sm of floor space...,Canada,Saskatchewan,Lanigan,CAD,5700000000.0,5700000000.0,4378437900.0,Transport,Transport,True,True,Unknown,2022-10-20,publish_date,DODGE,https://www.construction.com/projects/dr-201200637179-bhp-billiton-jansen-potash-project,0,80
133,Cortellucci Vaughan Hospital (formerly Mackenzie Vaughan Hospital),"Cortellucci Vaughan Hospital is part of Mackenzie Health, a regional health care provider serving Vaughan, Richmond Hill and beyond that also includes Mackenzie Richmond Hill Hospital and a network of community-based services.The Cortellucci Vaughan Hospital is the first hospital for the city of Vaughan, and the first new hospital for York Region in 30 years. The Cortellucci Vaughan Hospital is the first “smart” hospital in Canada.",Canada,Unknown,Unknown,CAD,1300000000.0,1300000000.0,1177257900.0,Water,Water,True,True,Unknown,2014-03-07,project_start_date,Infrastructre Ontario,https://www.infrastructureontario.ca/en/what-we-do/projectssearch/cortellucci-vaughan-hospital-formerly-mackenzie-vaughan-hospital/,0,80
283,Woodbine Racetrack Live Performance Venue,3 storey performance hall 10646 sm - 3 storey casino restaurant retailoffice administration building with 1 storey below grade parking 48343 sm - 1 storey retail building 9492 sm - hotel 1- twelve storeys - 419rooms -32882 sm - 1 level below grade parking - hotel 2- ten storeys - 547 rooms - 126581 sm - 1 level below grade parking - 6 storey parking structure - HVAC - concrete - paving - electrical - foundation - heating - plumbing - heat generation and air distribution -,Canada,Ontario,Toronto,CAD,1000000000.0,1000000000.0,797626000.0,Energy,Energy,True,True,Unknown,2021-03-03,publish_date,DODGE,https://www.construction.com/projects/dr-200900486669-woodbine-racetrack-live-performance-venue,0,80
311,Rocanville Potash Mine,"The Rocanville potash mine is located 16km north-east of Rocanville and approximately 200km east of Regina, Saskatchewan, Canada. It is one of six operated by Nutrien in southern Saskatchewan. The mine has undergone significant expansions to increase its production capacity.",Canada,Saskatchewan,Rocanville,CAD,2800000000.0,2800000000.0,2151696400.0,Industrial,Industrial,True,True,Unknown,2004-01-01,project_start_date,MiningTechnology,https://www.mining-technology.com/projects/rocanville/,0,80
347,Green Line LRT Southeast Segment,"The Green Line LRT project in Calgary includes a southeast segment extending 16 kilometres with 10 stations from Shepard to the Scotia Place event centre in Victoria Park. The project involves construction of the first phase of the Green Line, with procurement underway and work slated to begin at the end of the second quarter of 2025. The project also includes planning and design work for the downtown segment with a revised alignment favoring an elevated track above 10th Ave. S.E.",Canada,Alberta,Calgary,CAD,6250000000.0,6250000000.0,4652062500.0,Transport,Unknown,True,True,Unknown,2025-06-30,extracted_timestamp,Calgary Herald,https://calgaryherald.com/news/green-line-future-secure-update-calgary-city-council,0,70
358,Sidewalk Labs Toronto Tomorrow - MASTER PLAN,"new kind of mixed-use, complete community by combining forward thinkingurban design, new digital technology and other innovative solutions to create a neighbourhood that sets new standards for urban living",Canada,Ontario,Toronto,CAD,1300000000.0,1300000000.0,1036913799.99999,"Advanced Electronics, Commercial, Car Parking, Residential, Automotive",Unknown,True,True,Unknown,2021-02-17,publish_date,DODGE,https://www.construction.com/projects/dr-201800764314-sidewalk-labs-toronto-tomorrow-master-plan,0,70
373,Bridgepoint Health,"The new Bridgepoint Hospital is located in Riverdale, at Broadview Avenue and Gerrard Street EastThe new hospital is a “campus of care,” integrating patient care, research and teaching in complex chronic disease and disability.The neighboring historic Don Jail was preserved and repurposed, bringing together world-class clinical, education, and research talent.The main entrance is publicly accessibleThe Rotunda was restored to its original beauty, and some cells and the gallows were preserved for historical purposes.",Canada,Unknown,Unknown,CAD,622000000.0,622000000.0,579346972.0,Transport,Transport,False,True,Unknown,2007-11-26,project_start_date,Infrastructre Ontario,https://www.infrastructureontario.ca/en/what-we-do/projectssearch/bridgepoint-health/,0,80
453,Municipal Development Plan / Calgary Transportation Plan,The strategies and actions in this three-year timeframe move The City towards imagineCALGARY (100-year horizon) through the Municipal Development Plan / Calgary Transportation Plan (30-year horizon) and the 2020 Sustainability Direction (10-year horizon).,Canada,Alberta,Calgary,CAD,5700000000.0,5700000000.0,5701487700.0,"Hydro, Government",Unknown,True,True,Unknown,2012-01-01,project_start_date,City of Calgary,https://www.calgary.ca/content/dam/www/cfod/finance/documents/plans-budgets-and-financial-reports/business-plans-and-budgets-2012-2014/approved/business-plans-budgets-2012-2014-approved-complete.pdf,0,70
508,Iron Production Facility,construction of Iron production facility,Canada,New Brunswick,Belledune,CAD,1500000000.0,1500000000.0,1116495000.0,Industrial,Industrial,False,True,Unknown,2024-06-05,publish_date,DODGE,https://www.construction.com/projects/dr-201800710315-iron-production-facility,0,80
519,Pattullo Bridge Replacement P3 Project,"The project involves the toll-free replacement bridge which will be built to modern safety standards, with a centre barrier and wider lanes. It will also have separated walking and cycling lanes on both sides. There will also be smoother connections on and off the new Pattullo Bridge with new direct road connections between the bridge and East Columbia Street in New Westminster, and a new direct off-ramp from the bridge to westbound Highway 17 in Surrey.
The Pattullo Bridge, one of the oldest bridges in the Lower Mainland, was opened in 1937. It links the cities of New Westminster on the north side of the Fraser river and Surrey on the south bank in British Columbia. Since the opening of the Port Mann Bridge, the traffic volume on the Pattullo Bridge has risen from the historical volume of 70,000 vehicles per day to the current volume of 80,000 vehicles per day. 
When the new bridge is open, the existing bridge will be removed.",Canada,Unknown,Unknown,CAD,967500000.0,967500000.0,721650510.0,Transport,Transport,True,True,Unknown,2020-01-01,extracted_timestamp,InfraPPP,Missing URL,0,80
